,Open,High,Low,Close,Volume
2024-12-30,220.0600,222.9972,218.4300,221.3000,28321240
2024-12-31,222.9650,223.2299,218.9400,219.3900,24819655
2025-01-02,222.0300,225.1500,218.1900,220.2200,33956579
2025-01-03,222.5050,225.3600,221.6200,224.1900,27515606
2025-01-06,226.7800,228.8350,224.8400,227.6100,31849831
2025-01-07,227.9000,228.3810,221.4600,222.1100,28084164
2025-01-08,223.1850,223.5200,220.2000,222.1300,25033292
2025-01-10,221.4600,221.7100,216.5000,218.9400,36811525
2025-01-13,218.0600,219.4000,216.4700,218.4600,27262655
2025-01-14,220.4400,221.8200,216.2000,217.7600,24711650
2025-01-15,222.8300,223.5700,220.7500,223.3500,31291257
2025-01-16,224.4200,224.6500,220.3100,220.6600,24757276
2025-01-17,225.8400,226.5100,223.0800,225.9400,42370123
